ќценка.1,ќценка.2,ќценка.3,ќценка.4
35,84,92,94
50,82,98,96
40,74,78,78
100,82,84,66
35,72,61,76
100,92,100,91
100,84,78,87
75,80,88,94
65,68,66,87
60,92,72,89
30,72,74,82
65,74,70,94
100,86,96,94
70,84,84,98
65,96,90,94
60,92,88,80
75,76,88,94
100,80,90,87
40,78,60,91
85,86,94,87
75,82,92,87
55,70,66,78
65,88,92,96
100,82,100,98
90,80,98,96
100,76,92,98
100,96,100,96
75,70,78,69
90,80,98,100
60,88,92,87
100,92,96,88
80,92,92,100
100,90,100,80
100,84,100,82
40,88,84,96
50,74,94,87
65,98,90,85
100,94,82,96
100,90,84,94
65,84,68,98
100,94,96,100
55,88,72,82
50,62,51,73
60,76,88,78
90,84,96,100
90,90,100,98
50,92,76,93
30,50,52,67
100,78,78,96
100,96,96,94
100,86,100,96
35,76,61,100
55,70,61,87
80,90,82,94
60,78,94,96
65,88,86,94
50,68,82,87
90,86,66,94
70,86,100,100
55,70,60,73
100,94,100,100
35,70,54,94
50,78,84,87
95,90,98,73
50,68,80,80
80,82,78,94
100,96,100,96
50,80,74,91
60,78,80,82
80,82,86,89
100,86,88,85
35,86,60,69
50,76,82,82
70,84,92,85
60,96,92,96
100,98,96,98
70,80,96,96
55,90,66,83
55,76,70,94
80,78,70,91
100,82,90,85
50,82,60,62
60,78,80,96
100,98,78,96
80,90,94,91
70,74,68,80
75,90,80,96
55,94,94,94
100,94,96,91
60,80,78,85
90,82,74,85
100,94,88,85
100,86,92,94
80,88,90,80
100,86,96,91
45,70,58,85
80,88,92,96
100,82,92,91
50,68,86,71
100,100,100,96
100,86,74,66
35,62,70,67
65,76,78,73
70,82,78,98
50,90,100,85
70,90,90,96
60,94,86,91
100,92,100,94
80,82,64,80
55,82,86,87
80,80,74,89
55,80,72,94
55,76,76,71
80,86,92,85
40,84,84,87
100,92,90,85
100,92,100,89
55,76,70,89
75,98,96,100
100,94,94,100
85,90,100,87
100,86,78,96
100,84,88,82
100,80,68,87
60,78,86,87
35,68,62,85
90,98,100,91
65,82,84,100
70,86,70,89
100,84,100,100
80,78,100,98
65,78,82,87
80,86,84,94
65,80,100,94
60,84,98,96
70,82,84,98
70,80,80,87
50,92,88,80
50,74,100,87
75,80,74,76
70,80,88,89
85,100,100,94
55,86,83,81
70,86,98,96
65,92,74,91
100,86,84,87
60,90,88,83
75,72,86,87
90,78,59,94
60,76,78,91
100,88,84,96
35,78,92,73
55,84,74,91
40,78,82,100
50,84,78,98
60,78,84,89
80,78,76,94
100,82,100,91
45,62,70,94
100,92,100,89
100,98,100,96
100,80,84,96
100,94,94,94
55,76,80,91
65,86,84,76
65,92,76,76
100,90,88,98
70,88,82,98
60,84,90,82
70,80,86,85
80,92,98,94
50,84,92,96
75,88,90,82
100,90,100,96
75,92,86,98
60,80,70,96
60,78,78,89
100,92,84,87
70,76,92,85
70,92,98,91
70,76,82,91
100,99,100,96
100,84,88,98
50,80,68,94
90,92,72,89
70,84,100,96
80,84,96,94
60,80,74,91
45,86,80,94
65,80,74,82
100,99,96,94
100,100,98,91
35,72,80,87
100,78,80,89
80,84,88,89
70,92,80,89
85,100,100,89
75,86,94,85
75,86,86,83
70,94,90,91
65,78,78,96
80,94,94,98
35,74,90,87
45,80,59,82
70,86,86,91
100,96,100,87
55,70,74,78
60,82,98,94
100,76,100,87
65,74,96,94
55,76,72,87
35,74,96,80
70,90,80,89
60,72,82,96
65,78,82,82
50,80,80,94
100,92,92,82
55,99,94,82
55,86,90,87
60,84,90,89
100,90,84,94
60,84,88,91
65,76,92,76
75,86,100,96
100,82,84,100
70,80,76,98
100,94,100,85
55,80,94,89
100,84,90,93
100,99,100,98
70,92,88,96
50,39,74,87
65,68,60,96
100,90,88,78
100,92,88,85
65,76,88,96
50,78,70,94
100,88,100,73
100,76,88,87
60,88,74,87
35,78,88,85
70,82,68,82
100,80,82,87
70,82,96,91
80,96,100,91
90,96,98,91
30,68,72,96
70,84,92,98
60,70,55,89
80,84,84,96
70,74,82,94
65,76,90,94
100,98,82,85
70,80,76,82
100,98,90,96
60,84,68,98
60,80,80,94
100,88,89,88
35,80,82,89
60,82,82,91
70,76,80,82
30,72,60,80
100,99,100,87
35,80,53,78
100,80,100,91
100,84,72,85
70,100,80,80
